City,Country,State,Population (2018),Population (2010),2016 Land Area (sq mi),Type,Body,Mayor,Time zone
Riverside, United States, California,330063,303871,81.2 sq mi,Council-manager,,,UTC−8 (Pacific)
Corpus Christi, United States, Texas,326554,305215,174.6 sq mi,Council-manager government|Council-Manager,,,UTC−6 (CST)
Lexington,United States, Kentucky,323780,295803,283.6 sq mi,,,Linda Gorton,UTC−5 (EST)
Stockton, United States, California,311178,291707,61.7 sq mi,City Manager-Council,,Michael Tubbs (D),UTC−8 (Pacific)
Henderson,United States, Nevada,310390,257729,104.7 sq mi,Council-manager,,Debra March (D),UTC−8 (PST)
Saint Paul, United States, Minnesota,307695,285068,52.0 sq mi,,,Melvin Carter (DFL),UTC−6 (CST)
St. Louis, United States, Missouri,302838,319294,62.0 sq mi,Mayor–council government,,Lyda Krewson (D),UTC−6 (CST)
Cincinnati, United States, Ohio,302605,296943,77.4 sq mi,Mayor–council,Cincinnati City Council,John Cranley (D),UTC−5 (EST)
Pittsburgh, United States, Pennsylvania,301048,305704,55.4 sq mi,Mayor-Council,,Bill Peduto (D),UTC−5 (Eastern Standard Time)
Greensboro, United States, North Carolina,294722,269666,128.3 sq mi,City Council,,Nancy B. Vaughan (D),UTC−5 (EST)
Anchorage, United States, Alaska,291538,291826,1706.6 sq mi,,Anchorage Assembly,Ethan Berkowitz (D),UTC-9 (AKST)
Plano,United States, Texas,288061,259841,71.7 sq mi,Council-Manager,Plano City Council,Harry LaRosiliere (D),UTC−6 (CST)
Lincoln, United States, Nebraska,287401,258379,92.1 sq mi,Strong Mayor-Council,,Leirion Gaylor Baird (D),UTC-6 (CST)
Orlando, United States, Florida,285713,238300,105.2 sq mi,Mayor–Commission,,Buddy Dyer (D),UTC−5 (Eastern (EST))
Irvine, United States, California,282572,212375,65.6 sq mi,Council-Manager,,Christina L. Shea,UTC−8 (Pacific)
Newark,United States, New Jersey,282090,277140,24.1 sq mi,Faulkner Act (Mayor-Council),City Council,Ras Baraka (D)[5],UTC−5 (Eastern (EST))
Toledo,United States, Ohio,274975,287208,80.7 sq mi,,,Wade Kapszukiewicz (D),UTC−5 (EST)
Durham,United States, North Carolina,274291,228330,109.8 sq mi,Council-Manager,,Steve Schewel,UTC−5 (EST)
Chula Vista, United States, California,271651,243916,49.6 sq mi,Council-Manager,,,UTC-8 (PST)
Fort Wayne, United States, Indiana,267633,253691,110.6 sq mi,Mayor–council,,Tom Henry (D),UTC−05:00 (EST)
Jersey City, United States, New Jersey,265549,247597,14.8 sq mi,Faulkner Act (Mayor-Council),City Council,Steven Fulop(D)[14],UTC−5 (EST)
St. Petersburg,United States, Florida,265098,244769,61.8 sq mi,Strong Mayor-Commission,,Rick Kriseman (D),UTC−5 (Eastern (EST))
Laredo,United States, Texas,261639,236091,101.1 sq mi,Council-manager,,Pete Saenz (D),UTC−6 (CST)
Madison,United States, Wisconsin,258054,233209,77.0 sq mi,,,Satya Rhodes-Conway (D),UTC−6 (Central)
Chandler,United States, Arizona,257165,236123,64.9 sq mi,Council-Manager,,Kevin Hartke,UTC−7 (MST (no DST))
Buffalo, United States, New York,256304,261310,40.4 sq mi,,,Byron Brown (D),UTC−05:00 (EST)
Lubbock, United States, Texas,255885,229573,124.6 sq mi,Council-manager,,Dan Pope (R),UTC−6 (CST)
Scottsdale,United States, Arizona,255310,217385,183.9 sq mi,Council-Manager,,Jim Lane (R),UTC−7 (MST (no DST))
Reno, United States, Nevada,250998,225221,107.3 sq mi,Council-manager,,Hillary Schieve (ID),UTC−8 (Pacific (PST))
Glendale,United States, Arizona,250702,226721,59.1 sq mi,,,Jerry Weiers (Non-Partisan),UTC-7 (MST (no DST))
Gilbert,United States, Arizona,248279,208453,68.0 sq mi,,,Jenn Daniels (R),UTC-7 (MST (no DST))
Winston–Salem, United States, North Carolina,246328,229617,132.5 sq mi,,,Allen Joines (D),UTC−5 (Eastern)
North Las Vegas, United States, Nevada,245949,216961,98.0 sq mi,Council-Manager,,John Lee (D),UTC-8 (PST)
Norfolk, United States, Virginia,244076,242803,53.3 sq mi,,,Kenny Alexander (D),UTC−5 (EST)
Chesapeake, United States, Virginia,242634,222209,338.5 sq mi,Council-Manager,,"Dr. Richard W. ""Rick"" West (R)",UTC−5 (EST)
Garland,United States, Texas,242507,226876,57.0 sq mi,Council-Manager,,,UTC-6 (CST)
Irving,United States, Texas,242242,216290,67.0 sq mi,Council-Manager,,,UTC-6 (CST)
Hialeah, United States, Florida,238942,224669,21.5 sq mi,Council-Mayor,,Carlos Hernández (R),UTC−5 (EST)
Fremont, United States, California,237807,214089,77.5 sq mi,Council–manager,,,UTC−8 (Pacific)
Boise,United States, Idaho,228790,205671,82.1 sq mi,Strong-mayor,Boise City Council,Dave Bieter (D),UTC−7 (MST)
Richmond,United States, Virginia,228783,204214,59.8 sq mi,,,Levar Stoney (D),UTC-5 (EST)
Baton Rouge,United States, Louisiana,221599,229493,85.9 sq mi,,,Sharon Weston Broome (D),UTC−6 (CST)
Spokane, United States, Washington,219190,208916,68.7 sq mi,Mayor-Council,Spokane City Council,David Condon (R),UTC−8 (PST)
Des Moines,United States, Iowa,216853,203433,88.9 sq mi,Council–manager government,,Frank Cownie (D),UTC-6 (CST)
Tacoma, United States, Washington,216279,198397,49.7 sq mi,Council-manager,,Victoria Woodards  since 2018,UTC−8 (PST)
San Bernardino,United States, California,215941,209924,61.5 sq mi,Council-manager,,John Valdivia,UTC−8 (Pacific)
Modesto, United States, California,215030,201165,43.0 sq mi,Council-manager,,Ted Brandvold,UTC−8 (Pacific)
Fontana, United States, California,213739,196069,43.0 sq mi,Council-Manager,,,UTC-8 (PST)
Santa Clarita, United States, California,210089,176320,52.8 sq mi,Council-Manager,,Marsha McLean,UTC−08:00 (Pacific)
Birmingham,United States, Alabama,209880,212237,146.1 sq mi,Mayor–council,,Randall Woodfin (D),UTC−6 (CST)
Oxnard,United States, California,209877,197899,26.9 sq mi,Council–manager,,,UTC−8 (Pacific)
Fayetteville,United States, North Carolina,209468,200564,147.7 sq mi,Council-Manager,,Mitch Colvin (D),UTC−5 (Eastern (EST))
Moreno Valley, United States of America, California,209050,193365,51.3 sq mi,Council-Manager,,,UTC−8 (Pacific)
Rochester,United States, New York,206284,210565,35.8 sq mi,Mayor-Council,,Lovely Warren (D),UTC−5 (EST)
Glendale, United States, California,201361,191719,30.4 sq mi,Council-Manager,,,UTC−8 (Pacific)
Huntington Beach, United States, California,200641,189992,26.9 sq mi,City Council/City Manager,,,UTC−8 (Pacific)
Salt Lake City, United States, Utah,200591,186440,111.2 sq mi,Mayor-council,,Jackie Biskupski (D),UTC−7 (Mountain)
Grand Rapids, United States, Michigan,200217,188040,44.4 sq mi,City Commission-Manager,,Rosalynn Bliss (D),UTC-5 (EST)
Amarillo, United States, Texas,199924,190695,101.4 sq mi,Council-Manager,City Council,"Ginger Nelson 
(Since May 2017)",UTC−6 (CST)
Yonkers,United States, New York,199663,195976,18.0 sq mi,Mayor-Council,Yonkers City Council,Mike Spano (D),UTC-5 (EST)
Aurora,United States, Illinois,199602,197899,44.9 sq mi,Mayor–council,,Richard Irvin (R),UTC−6 (CST)
Montgomery, United States, Alabama,198218,205764,159.8 sq mi,Mayor–Council,,Todd Strange (R),UTC−6 (CST)
Akron,United States, Ohio,198006,199110,62.0 sq mi,Strong Mayor–council,,Dan Horrigan (D),UTC-5 (Eastern (EST))
Little Rock, United States, Arkansas,197881,193524,118.7 sq mi,Council-manager,,Frank Scott Jr. (D),UTC-6 (CST)
Huntsville, United States, Alabama,197318,180105,213.4 sq mi,Mayor–Council,,Tommy Battle (R),UTC−6 (CST)
Augusta,United States, Georgia,196939,195844,302.5 sq mi,,,Hardie Davis,UTC-5 (EST)
Port St. Lucie,United States, Florida,195248,164603,118.9 sq mi,,,Greg Oravec,UTC−5 (Eastern (EST))
Grand Prairie, United States, Texas,194614,175396,72.3 sq mi,Council-Manager,,,UTC-6 (CST)
Columbus,United States, Georgia,194160,189885,216.4 sq mi,,,"B. H. ""Skip"" Henderson III (R)",UTC−5 (EST)
Tallahassee,United States, Florida,193551,181376,100.4 sq mi,Commission–Manager,,John Dailey (D),UTC−5 (Eastern (EST))
Overland Park,United States, Kansas,192536,173372,75.1 sq mi,,,Carl R. Gerlach,UTC-6 (CST)
Tempe,United States, Arizona,192364,161719,40.0 sq mi,,,Mark Mitchell (D),UTC−7 (MST (no DST))
McKinney, United States, Texas,191645,131117,63.0 sq mi,council-manager,,George Fuller,UTC−6 (CST)
Mobile,United States, Alabama,189572,195111,139.4 sq mi,Mayor–council,,Sandy Stimpson (R),UTC−6 (CST)
Cape Coral,United States, Florida,189343,154305,105.6 sq mi,Council-Manager,,Joe Coviello,UTC−05:00 (EST)
Shreveport, United States, Louisiana,188987,199311,107.1 sq mi,,,Adrian Perkins (D),UTC−6 (CST)
Frisco,United States, Texas,188170,116989,67.7 sq mi,Council-manager,,,UTC-6 (CST)
Knoxville,United States, Tennessee,187500,178874,98.5 sq mi,Mayor–council,,Madeline Rogero (D),UTC−5 (EST)
